Keywords,Title,URL,Views,Upload Date,Duration
flat earth debunked,Flat Earthers vs Scientists: Can We Trust Science? | Middle Ground,https://www.youtube.com/watch?v=Q7yvvq-9ytE,"20,280,447",2 years ago,34 minutes
flat earth debunked,Earth is Flat! - 100% PROOF!! AMAZING!! (Flat Earth Comedy),https://www.youtube.com/watch?v=TdVKZkfAkpk,"9,475,859",3 years ago,"4 minutes, 23 seconds"
flat earth debunked,Response to Globebusters - The Earth Still Isn't Flat,https://www.youtube.com/watch?v=JDy95_eNPzM,"9,313,609",2 years ago,45 minutes
flat earth debunked,"Neil Tyson Demonstrates Absurdity of ""Flat Earth""",https://www.youtube.com/watch?v=hLPPE3_DVCw,"7,638,406",3 years ago,9 minutes
flat earth debunked,Why Do People Believe The Earth Is Flat? #Shorts,https://www.youtube.com/shorts/QsvwswQl6Vo,"7,566,845",4 weeks ago,42 seconds
flat earth debunked,Phillip Is Absolutely Baffled by the Men Who Believe the Earth Is Flat | This Morning,https://www.youtube.com/watch?v=erA3WQE9Zes,"7,328,004",3 years ago,"7 minutes, 6 seconds"
flat earth debunked,Why People Think the World is Flat,https://www.youtube.com/watch?v=IwJzsE8CvzQ,"7,300,768",1 year ago,18 minutes
flat earth debunked,Flat Earth vs. Round Earth | Explorer,https://www.youtube.com/watch?v=06bvdFK3vVU,"5,330,381",3 years ago,"10 minutes, 11 seconds"
flat earth debunked,Why Flat Earthers Are Dead Wrong,https://www.youtube.com/watch?v=MYnjzsjeMK8,"4,813,558",2 years ago,"10 minutes, 57 seconds"
flat earth debunked,Joe Rogan - Neil deGrasse Tyson on Eric Dubay & Flat Earth,https://www.youtube.com/watch?v=YjWn23pEl3k,"4,681,483",3 years ago,"8 minutes, 49 seconds"
flat earth debunked,10 Challenges For Flat Earthers,https://www.youtube.com/watch?v=AQl8h7Aa75s,"4,605,928",1 year ago,"12 minutes, 55 seconds"
flat earth debunked,The 10 Things That All Flat Earthers Say,https://www.youtube.com/watch?v=KyD8VIK032o,"4,486,975",2 years ago,18 minutes
flat earth debunked,Buzzfeed Flat Earth,https://www.youtube.com/watch?v=yJFq4HV-MGQ,"4,435,024",3 years ago,"7 minutes, 23 seconds"
flat earth debunked,Flat Earth: A Measured Response,https://www.youtube.com/watch?v=2gFsOoKAHZg,"4,160,249",3 years ago,45 minutes
flat earth debunked,5 Facts That Prove The Earth Is Flat,https://www.youtube.com/watch?v=e5ACN9iF8Jw,"4,098,912",3 years ago,"7 minutes, 30 seconds"
flat earth debunked,How I Proved the Earth is Round (with my Bike and Two Sticks),https://www.youtube.com/watch?v=YaPa4esJJx4,"3,978,423",3 years ago,"12 minutes, 50 seconds"
flat earth debunked,Steve-O Debunks Flat Earth Theory in 2 Minutes - The Joe Rogan Experience,https://www.youtube.com/watch?v=SPS6vaVgK6k,"3,754,835",4 years ago,"2 minutes, 32 seconds"
flat earth debunked,"Inside a Flat Earth convention, where nearly everyone believes Earth isn't round",https://www.youtube.com/watch?v=1gHbwT_R9t0,"3,539,723",3 years ago,"7 minutes, 7 seconds"
flat earth debunked,Destroying Flat Earth Without Using Science - Part 3: Airplanes,https://www.youtube.com/watch?v=Dd-FAyHdpxI,"3,217,699",1 year ago,"6 minutes, 51 seconds"
flat earth debunked,David Mitchell's Hilarious Rant On The Flat Earth Society | The Graham Norton Show,https://www.youtube.com/watch?v=iYZbQIXoVMY,"3,139,053",1 year ago,"2 minutes, 26 seconds"
prochoice,Ben Shapiro SHREDS Pro-Choice Argument | UBCFSC Talk,https://www.youtube.com/watch?v=ZF3cUjl2WG0,"7,184,089",3 years ago,"3 minutes, 51 seconds"
prochoice,Pro-Choice And Pro-Life Supporters Search For Common Ground | Middle Ground,https://www.youtube.com/watch?v=QOJsel8t6wE,"6,954,231",4 years ago,"13 minutes, 4 seconds"
prochoice,Pro-Choice vs Pro-Life: Can They See Eye To Eye? | Middle Ground,https://www.youtube.com/watch?v=yRA0KMCEP2o,"3,086,570",2 years ago,18 minutes
prochoice,PLAN A #prochoice #singlelife,https://www.youtube.com/shorts/yCuOd7PiRH4,"2,836,474",3 weeks ago,49 seconds
prochoice,Young Man DESTROYS The Pro-Choice Argument in 5 MINUTES,https://www.youtube.com/watch?v=OqS4qFc_I6A,"2,753,517",2 years ago,"5 minutes, 38 seconds"
prochoice,Ben Shapiro Obliterates Every Pro-Abortion Argument (Send This To Your Pro-Choice Friends),https://www.youtube.com/watch?v=LfmA_ufFDCg,"1,073,621",2 years ago,34 minutes
prochoice,Pro-choice or pro-life? 39% of Americans don't pick a side.,https://www.youtube.com/watch?v=ssSIUVPjDns,"570,693",6 years ago,"3 minutes, 15 seconds"
prochoice,Answering The Best Pro Choice Argument,https://www.youtube.com/watch?v=RGPudL_GQ3Y,"418,213",2 years ago,22 minutes
prochoice,"""I'm Personally Pro-Life but Politically Pro-Choice!""",https://www.youtube.com/watch?v=Q2ekPehWTBY,"337,045",8 months ago,"1 minute, 34 seconds"
prochoice,Pro-Choice Protester Doesn't Realize She's Live,https://www.youtube.com/watch?v=oAPCIFqZk8c,"336,130",1 year ago,"6 minutes, 22 seconds"
prochoice,Pro LIFE or Pro CHOICE as Muslims? #shorts,https://www.youtube.com/shorts/TptUrG1yQhY,"328,874",2 weeks ago,1 minute
prochoice,Responding To PRO-CHOICE Comments On My PRO-LIFE Video || Real answers to pro-abortion arguments...,https://www.youtube.com/watch?v=_teOrH1lPCM,"307,152",1 year ago,15 minutes
prochoice,Kristan Hawkins Crushes Pro-Choice Logic,https://www.youtube.com/watch?v=2PXN4AIClK0,"298,209",2 years ago,"5 minutes, 50 seconds"
prochoice,'Pro Choice' Arguments vs Logic,https://www.youtube.com/watch?v=rasjVfYNRTE,"258,519",2 years ago,16 minutes
prochoice,Abortion Rights Are Pro-Choice Men's Rights,https://www.youtube.com/watch?v=o950k2HffWw,"245,628",2 months ago,"2 minutes, 53 seconds"
prochoice,"Short film about Abortion/Pro-Choice/Pro-Life: ""Choices""",https://www.youtube.com/watch?v=0srhBbsLyRM,"240,101",11 years ago,"3 minutes, 1 second"
prochoice,Pro-Life vs Pro-Choice: Is Abortion Murder?,https://www.youtube.com/watch?v=Am7alPZW5fw,"196,849",2 years ago,20 minutes
prochoice,DEBUNK Hilarious Pro-Choice TikToks | Viewer Request!,https://www.youtube.com/watch?v=Pk77lEHXhJQ,"188,873",2 months ago,"10 minutes, 52 seconds"
prochoice,Why I'm Pro-Choice,https://www.youtube.com/watch?v=YGW6KCbJU9M,"184,313",1 year ago,22 minutes
prochoice,DEBUNK Hilarious Pro-Choice TikToks PART 2 | Viewer Request!,https://www.youtube.com/watch?v=UiE9ajULKuw,"180,124",2 months ago,"10 minutes, 39 seconds"
feminism,Ladies Making UNIQUE Matka Roti😯😯 ये है असली Woman Empowerment🙏🏻 #indianstreetfood #feminism #shorts,https://www.youtube.com/shorts/3tNc0z292AA,"31,256,526",1 month ago,28 seconds
feminism,#SJW Feminist Festival Crashed By Crowder...In Underwear,https://www.youtube.com/watch?v=aWJT0egzAy0,"30,619,789",6 years ago,"14 minutes, 7 seconds"
feminism,36 STUPID FEMINIST QUESTIONS ANSWERED,https://www.youtube.com/watch?v=8M7KGe2UnmE,"25,947,866",6 years ago,31 minutes
feminism,UNDERCOVER: SJW Fat-Pride Feminist Panel Crashed By Crowder!,https://www.youtube.com/watch?v=lPLwiPXyFCg,"24,679,734",4 years ago,"9 minutes, 26 seconds"
feminism,Prime example of the feminist movement backfiring,https://www.youtube.com/shorts/FjUOFuzPGZo,"20,811,553",1 year ago,58 seconds
feminism,Jordan Peterson calmly dismantles feminism infront of two feminists,https://www.youtube.com/watch?v=Ddzf9Mm4hdY,"20,072,484",3 years ago,"11 minutes, 26 seconds"
feminism,FEMINISM VS LOGIC (OWNED COMPILATION) #2,https://www.youtube.com/watch?v=5cIvH-iZZfA,"15,083,030",4 years ago,16 minutes
feminism,Kids Explain Why Women Are Paid Less Than Men,https://www.youtube.com/watch?v=S1Onniy08AY,"14,078,547",5 years ago,"4 minutes, 13 seconds"
feminism,Jordan Peterson discusses whether men and women can ever be equal,https://www.youtube.com/watch?v=Iy4vq8RdPGU,"13,082,154",3 years ago,"9 minutes, 27 seconds"
feminism,Men's Rights vs Feminism: Is Toxic Masculinity Real? | Middle Ground,https://www.youtube.com/watch?v=hOUGNGWmN0k,"11,498,558",2 years ago,24 minutes
feminism,This Is Not A Feminist Song - SNL,https://www.youtube.com/watch?v=YfiLAcERNQ4,"10,305,048",5 years ago,"3 minutes, 4 seconds"
feminism,JORDAN PETERSON DESTROYS FEMINISM #Shorts,https://www.youtube.com/shorts/vpdUmsx05yY,"10,077,364",1 month ago,39 seconds
feminism,MEETING THE ENEMY A feminist comes to terms with the Men's Rights movement | Cassie Jaye | TEDxMarin,https://www.youtube.com/watch?v=3WMuzhQXJoY,"9,747,360",4 years ago,"14 minutes, 48 seconds"
feminism,Daz Watches Crazy Feminists,https://www.youtube.com/watch?v=gwZr6mccKWs,"9,465,390",5 years ago,17 minutes
feminism,Bill Burr on feminism,https://www.youtube.com/watch?v=N0vZhz3sN_E,"9,018,345",5 years ago,15 minutes
feminism,Inside the Weird World of Adnan Oktar's Islamic 'Feminist' Cult,https://www.youtube.com/watch?v=7bH21w2R0hc,"7,982,062",6 years ago,19 minutes
feminism,Can Feminists and Non-Feminists Agree On Gender Equality? | Middle Ground,https://www.youtube.com/watch?v=E37swnRU2fs,"7,283,590",3 years ago,"14 minutes, 47 seconds"
feminism,We should all be feminists | Chimamanda Ngozi Adichie | TEDxEuston,https://www.youtube.com/watch?v=hg3umXU_qWc,"7,255,731",8 years ago,30 minutes
feminism,BuzzFeed: The McDonald's of Feminism,https://www.youtube.com/watch?v=8cgFrX0Y8TE,"7,218,459",4 years ago,"10 minutes, 45 seconds"
feminism,"Jordan Peterson: ""I'm Not Anti-Feminist"" | Q&A",https://www.youtube.com/watch?v=fjdlJBSp1lc,"6,928,871",2 years ago,"4 minutes, 28 seconds"
climate change,Billie Eilish - all the good girls go to hell,https://www.youtube.com/watch?v=-PZsSWwc9xA,"202,824,200",2 years ago,"3 minutes, 42 seconds"
climate change,Leonardo DiCaprio winning Best Actor | 88th Oscars (2016),https://www.youtube.com/watch?v=xpyrefzvTpI,"47,492,241",5 years ago,"4 minutes, 30 seconds"
climate change,Dear Future Generations: Sorry,https://www.youtube.com/watch?v=eRLJscAlk1M,"27,904,335",6 years ago,"6 minutes, 3 seconds"
climate change,How Earth Would Look If All The Ice Melted,https://www.youtube.com/watch?v=VbiRNT_gWUQ,"21,402,345",6 years ago,"2 minutes, 45 seconds"
climate change,"[Replay] Watch the Countdown Global Launch, a call to action on climate change",https://www.youtube.com/watch?v=5dVcn8NjbwY,"15,354,757",1 year ago,"5 hours, 40 minutes"
climate change,Paris Agreement: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=5scez5dqtAc,"13,497,960",4 years ago,20 minutes
climate change,Elon Musk Surprising Opinion About Climate Change 😳🔥 #shorts #sustainability,https://www.youtube.com/shorts/w1EhBhtgL6s,"12,577,379",3 months ago,44 seconds
climate change,BLACKPINK Performs Stay | Dear Earth,https://www.youtube.com/watch?v=rqVPhi0oTVU,"10,524,593",3 months ago,"4 minutes, 16 seconds"
climate change,climate change challenge,https://www.youtube.com/watch?v=NkHvwc_3IgI,"10,420,315",2 years ago,"10 minutes, 47 seconds"
climate change,CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26,https://www.youtube.com/watch?v=0pJ1oD-OXZo,"10,385,173",3 months ago,"2 minutes, 24 seconds"
climate change,Can YOU Fix Climate Change?,https://www.youtube.com/watch?v=yiw6_JakZFc,"10,296,004",4 months ago,15 minutes
climate change,Climate Change Debate: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=cjuGCJJUGsg,"8,771,804",7 years ago,"4 minutes, 27 seconds"
climate change,Who Is Responsible For Climate Change? – Who Needs To Fix It?,https://www.youtube.com/watch?v=ipVxxxqwBQw,"8,153,427",1 year ago,"10 minutes, 36 seconds"
climate change,Geoengineering: A Horrible Idea We Might Have to Do,https://www.youtube.com/watch?v=dSu5sXmsur4,"7,893,792",1 year ago,"9 minutes, 10 seconds"
climate change,Greta Thunberg to world leaders: 'How dare you? You have stolen my dreams and my childhood',https://www.youtube.com/watch?v=TMrtLsQbaok,"7,584,023",2 years ago,"4 minutes, 35 seconds"
climate change,Hanwha Solar Forest: Carbon-Neutral Forests to Fight Climate Change,https://www.youtube.com/watch?v=1CmKXrylPXU,"7,457,369",8 months ago,2 minutes
climate change,Watch Harnaaz Sandhu's Statement On Climate Change During Q&A Round,https://www.youtube.com/watch?v=XEOvNVYmjDM,"6,829,560",2 months ago,"1 minute, 6 seconds"
climate change,Do we Need Nuclear Energy to Stop Climate Change?,https://www.youtube.com/watch?v=EhAemz1v7dQ,"6,479,446",10 months ago,"10 minutes, 43 seconds"
climate change,"Is It Too Late To Stop Climate Change? Well, it's Complicated.",https://www.youtube.com/watch?v=wbR-5mHI6bo,"6,355,169",1 year ago,"10 minutes, 7 seconds"
climate change,[Replay] Watch the 2021 TED Countdown Global Livestream | Take action on climate change,https://www.youtube.com/watch?v=SG_vqlb1pOQ,"6,114,503",3 months ago,"2 hours, 35 minutes"
